SITIODESEMBARCO_METODO_ESPECIE;Cuartil_inf_PESO_TOTALE_hist;Cuartil_sup_PESO_TOTALE_hist
Bellavista_Línea de mano - Línea de mano_Caranx ruber;0,98;1,57
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Panulirus argus;4,45;23,05
Manaure Centro_Red de enmalle - Red de enmalle de deriva marina_Balistes capriscus;7,4;26
Arrimadero La Unión_Red de enmalle - Red de enmalle fija marina_Centropumus spp.;6,88;90
Arrimadero La Unión_Red de enmalle - Red de enmalle fija marina_Lobotes pacifica;4,45;42,2
Arrimadero La Unión_Red de enmalle - Red de enmalle fija marina_Bagre pinnimaculatus;3,5;29,52
Taganga_Red de enmalle - Red de enmalle fija marina_Trachinotus goodei;0,25;0,92
Morrosquillo_Atarraya - Atarraya_Chaetodipterus faber;0,38;3,05
Las Tenazas_Línea de mano - Línea de mano_Megalops atlanticus;3,62;29,9
Palo Alto_Red de enmalle - Red de encierro rastra_Prochilodus magdalenae;16,25;76,75
Palo Alto_Red de enmalle - Red de encierro rastra_Pseudoplatystoma magdaleniatum;1,68;9,3
Palo Alto_Red de enmalle - Red de encierro rastra_Megaleporinus muyscorum;7;24,25
Palo Alto_Red de enmalle - Red de encierro rastra_Curimata mivartii;6;6
Bazurto_Red de enmalle - Red de enmalle fija marina_Mugil incilis;1,25;52
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Thunnus alalunga;15,38;22,12
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Euthynnus alletteratus;3,3;92,9
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Carcharhinus leucas;1;23,85
San Nicolás (Nechí)_Atarraya - Atarraya_Brycon moorei;0,46;5,46
Jodedor_Línea de mano - Línea de mano_Seriola dumerili;2,3;127,15
Jodedor_Red de enmalle - Red de enmalle de deriva marina_Lobotes surinamensis;2,22;7,01
Jodedor_Red de enmalle - Red de enmalle fija marina_Centropomus pectinatus;1;11
Jodedor_Línea de mano - Línea de mano_Lutjanus griseus;1,7;11,3
Jodedor_Línea de mano - Línea de mano_Epinephelus itajara;2,6;16,4
Jodedor_Línea de mano - Línea de mano_Micropogonias furnieri;2,45;11,75
Jodedor_Línea de mano - Línea de mano_Bagre filamentosus;5;20
Jodedor_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;2;18,6
Jodedor_Red de enmalle - Red de enmalle fija marina_Opisthonema oglinum;10;88
Jodedor_Red de enmalle - Red de enmalle fija marina_Calamus penna;1,75;14
Tasajera La Playa_Red de enmalle - Red de enmalle fija marina_Opisthonema oglinum;3,6;28,8
El Llanito_Red de enmalle - Red de enmalle de deriva continental_Pseudopimelodus atricaudus;0,75;0,75
El Llanito_Palangre o Espinel - Palangre calandrio_Sternopygus aequilabiatus;1;1
El Llanito_Palangre o Espinel - Palangre calandrio_Salminus affinis;0,54;1,21
El Llanito_Palangre o Espinel - Palangre calandrio_Pseudopimelodus atricaudus;0,41;0,92
El Llanito_Palangre o Espinel - Palangre calandrio_Piaractus brachypomus;1,19;13,1
Bocanegra_Chinchorro marino - Chinchorro marino_Sphyraena guachancho;0,86;22,9
Desembarcadero (Juradó)_Línea de mano - Línea de mano_Seriola peruana;7,9;41,35
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Caranx sexfasciatus;5;71,88
Desembarcadero (Juradó)_Red de enmalle - Red de enmalle fija marina_Epinephelus spp.;15;15
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Sparisoma chrysopterum;3,7;70,4
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Scomberomorus cavalla;11,72;89,72
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Rhizoprionodon lalandii;7,46;116,28
Manaure Abajo_Red de enmalle - Red de enmalle de deriva marina_Epinephelus striatus;5;15,6
Piedras Blancas_Red de enmalle - Red de enmalle de encierro marina_Peprilus paru;42,15;44,85
Bazurto_Línea de mano - Línea de mano_Chloroscombrus chrysurus;0,75;13,1
Taganga_Línea de mano - Línea de mano - Ballestilla_Mycteroperca bonaci;0,99;23,8
Taganga_Línea de mano - Línea de mano - Ballestilla_Epinephelus itajara;2,1;60,9
Taganga_Línea de mano - Línea de mano - Ballestilla_Etelis oculatus;2;18,15
Bazurto_Red de enmalle - Red de enmalle fija marina_Haemulopsis corvinaeformis;0,77;9
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Thunnus albacares;6;86,2
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Epinephelus sp1.;4,62;88,5
La Boquilla_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;3;25,8
La Boquilla_Chinchorro marino - Chinchorro marino_Chloroscombrus chrysurus;2;39
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Kyphosus vaigiens;0,33;2,78
Las Tenazas_Línea de mano - Línea de mano_Epinephelus adscensionis;0,2;0,55
Gaira_Chinchorro marino - Chinchorro de jala playa_Caranx hippos;0,2;8,8
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;0,29;1,91
Bahía de Santa Marta_Red de enmalle - Red de enmalle fija marina_Oligoplites palometa;0,51;0,71
Bellavista_Línea de mano - Línea de mano_Centropomus undecimalis;1,18;2,8
Bellavista_Chinchorro marino - Chinchorro de jala playa_Lutjanus mahogoni;0,29;4,65
Bellavista_Chinchorro marino - Chinchorro de jala playa_Mulloidichthys martinicus;9,9;9,9
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Sphyraena guachancho;0,2;2,56
Bellavista_Línea de mano - Línea de mano correteo curricán o trolling_Scomberomorus cavalla;0,54;4,26
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Hyporthodus flavolimbatus;10,3;130
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Pristipomoides aquilonaris;4,7;29,8
Taganga_Ballestilla/Palangre parguera - Ballestilla/Palangre parguera_Seriola dumerili;70;70
Zapata_Red de enmalle - Red de enmalle fija marina_Cynoscion virescens;1;20
Puerto Pozuelo - La Rinconada_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;0,41;3,88
Gaira_Línea de mano - Línea de mano_Cyclopsetta chittendeni;0,68;0,68
Zapata_Red de enmalle - Red de enmalle camaronera_Scomberomorus brasiliensis;2;18,77
Gaira_Red de enmalle - Red de enmalle fija marina_Pterois volitans;0,3;0,3
Gaira_Red de enmalle - Red de enmalle fija marina_Bothus lunatus;0,3;1,52
Gaira_Red de enmalle - Red de enmalle fija marina_Macrodon ancylodon;0,22;2,59
Gaira_Trampas o Nasas - Nasas de Peces_Lutjanus analis;0,7;0,7
Gaira_Trampas o Nasas - Nasas de Peces_Lutjanus vivanus;0,75;0,75
Gaira_Trampas o Nasas - Nasas de Peces_Rhomboplites aurorubens;2,75;2,75
Barrio Abajo (Ciénaga)_Red de enmalle - Red de enmalle fija marina_Opisthonema oglinum;2;90
Tajamar Occidental_Red de enmalle - Red de enmalle de deriva marina_Bagre filamentosus;2,8;42
La Boquilla_Chinchorro marino - Chinchorro marino_Rachycentron canadum;3;3
La Boquilla_Línea de mano - Línea de mano_Lutjanus purpureus;1,52;10
La Boquilla_Línea de mano - Línea de mano_Euthynnus alletteratus;9,1;9,1
Jegua_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;0,52;4,92
Puerto Chaparro_Red de enmalle - Red de enmalle de deriva continental_Pseudopimelodus atricaudus;2,3;29,5
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Hoplias malabaricus;0,5;6,4
La T_Red de enmalle - Red de enmalle de encierro marina_Sphyraena barracuda;4,5;279,5
La T_Red de enmalle - Red de enmalle de encierro marina_Priacanthus arenatus;6,38;331,25
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Tylosurus acus;10;192
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Sphyraena barracuda;2,4;82,4
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Sphyraena guachancho;2,75;40,25
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Hypanus guttatus;2,75;38,05
Villa Fátima_Red de enmalle - Red de enmalle de encierro marina_Pseudupeneus maculatus;2;13,75
Santiago Apóstol_Red de enmalle - Red de enmalle fija continental_Ageneiosus pardalis;0,5;3,5
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Centropomus armatus;4;4
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Calamus brachysomus;3,72;55,15
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Chaetodipterus zonatus;2,77;3,94
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Mugil cephalus;1;1
Bocanegra_Red de enmalle - Red de enmalle fija marina_Nebris microps;0,17;4,4
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Selene setapinnis;8,2;320
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Haemulon macrostomum;3;3
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle de encierro marina_Trichiurus lepturus;2;76
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;12,85;100,15
Palo Alto_Red de enmalle - Red de encierro chuchaca_Caquetaia kraussii;8;8
Palo Alto_Red de enmalle - Red de encierro chuchaca_Triportheus magdalenae;2;2
Puerto Arriba (Dibulla)_Red de enmalle - Red de enmalle fija marina_Stellifer microps;1;1
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Penaeus monodon;0,89;7,4
Puerto Arriba (Dibulla)_Chinchorro marino - Chinchorro camaronero_Panulirus argus;0,82;2
El Puente_Red de enmalle - Red de enmalle fija continental_Hoplias malabaricus;1;5,4
Piedras Blancas_Red de enmalle - Red de enmalle de encierro marina_Opisthonema oglinum;26,3;31,7
Puerto Arriba (Dibulla)_Trampas o Nasas - Nasas de Peces_Lutjanus griseus;0,62;14,25
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Heteropriacanthus cruentatus;12,8;530,4
Manaure Centro_Red de enmalle - Red de enmalle de deriva marina_Opisthonema oglinum;7,25;50,25
Villanueva_Arpón - Arpón_Centropomus undecimalis;5,35;11,65
Loma - San Sebastián_Red de enmalle - Red de enmalle fija continental_Megaleporinus muyscorum;0,4;12,01
Loma - San Sebastián_Atarraya - Atarraya_Sorubim cuspicaudus;0,16;6,17
Loma - San Sebastián_Atarraya - Atarraya_Megaleporinus muyscorum;0,15;2,85
Desembarcadero (Juradó)_Línea de mano - Línea de mano_Haemulon flaviguttatum;4;30,35
Casino_Red de enmalle - Red de enmalle fija marina_Coryphaena hippurus;0,5;4,78
Bahía de Cispatá_Buceo - Buceo de peces_Chaetodipterus faber;0,98;9,53
Bahía de Cispatá_Red de enmalle - Red de enmalle fija marina_Hypanus guttatus;1,32;11
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Elops smithi;14,35;989,36
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Caranx latus;170;170
Manaure Abajo_Red de enmalle - Red de enmalle de deriva marina_Heteropriacanthus cruentatus;87;87
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Lutjanus purpureus;2;57,75
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Oligoplites palometa;32;32
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Epinephelus striatus;4;28
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Lachnolaimus maximus;4;72,7
Manaure Centro_Red de enmalle - Red de enmalle de encierro marina_Hypanus guttatus;17;206,4
Manaure Centro_Red de enmalle - Red de enmalle de deriva marina_Oligoplites palometa;21;21
Manaure Abajo_Red de enmalle - Red de enmalle de encierro marina_Balistes capriscus;9,26;100
Manaure Abajo_Red de enmalle - Red de enmalle de deriva marina_Lutjanus purpureus;1;7,3
Piedras Blancas_Red de enmalle - Red de enmalle de encierro marina_Heteropriacanthus cruentatus;20,15;40,85
Zapata_Arpón - Arpón_Lutjanus purpureus;1,45;9,68
Zapata_Arpón - Arpón_Centropomus undecimalis;6,05;10,55
Zapata_Arpón - Arpón_Epinephelus spp.;7,7;38,3
Gaira_Chinchorro marino - Chinchorro de jala playa_Trichiurus lepturus;0,3;94,5
Gaira_Chinchorro marino - Chinchorro de jala playa_Mugil incilis;0,3;0,47
Bazurto_Línea de mano - Línea de mano_Polydactylus virginicus;1,5;15
Puerto Miraflores_Red de enmalle - Red de enmalle fija marina_Hoplopagrus guentherii;2,5;11,4
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Lutjanus guttatus;7,65;105,1
Arrimadero La Unión_Palangre o Espinel - Palangre o espinel de fondo_Thunnus albacares;4,6;150,2
Los Cocos_Red de enmalle - Red de enmalle de encierro marina_Anisotremus surinamensis;5,25;154,5
Arrimadero La Unión_Red de enmalle - Red de enmalle fija marina_Lutjanus colorado;4;40,92
Las Tenazas_Línea de mano - Línea de mano_Lutjanus jocu;1,55;2
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorro continental_Hoplias malabaricus;1,47;6,33
Morrosquillo_Atarraya - Atarraya_Callinectes sapidus;0,1;0,27
La Ceiba_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;0,5;2,05
Playa Pescadores - Capurganá_Línea de mano - Línea de mano_Elagatis bipinnulata;2;50
Puerto Chucha_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;0,5;2
El Uno_Red de enmalle - Red de enmalle fija marina_Epinephelus itajara;4,18;18,88
El Uno_Palangre o Espinel - Palangre o espinel de fondo_Megalops atlanticus;20;64,5
La Boquilla_Red de enmalle - Red de enmalle fija marina_Bagre filamentosus;1,5;22
Robles_Atarraya - Atarraya_Prochilodus magdalenae;0,71;28,4
Mamón_Red de enmalle - Red de enmalle fija continental_Sorubim cuspicaudus;0,44;2,5
Ica-Copipa_Arpón - Arpón_Centropomus undecimalis;7;11,4
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Aetobatus narinari;0,75;5,25
Bahía de Cispatá_Red de enmalle - Red de enmalle de encierro marina_Hypanus guttatus;1,88;12,62
Casino_Línea de mano - Línea de mano_Anisotremus surinamensis;0,41;1,75
Jegua_Palangre o Espinel - Palangre calandrio_Sorubim cuspicaudus;2,7;6,3
Playa Necoclí_Red de enmalle - Red de enmalle fija marina_Sphyraena guachancho;0,25;7,19
El Ferry_Red de enmalle - Red de enmalle fija continental ciénaga_Cynopotamus magdalenae;0,5;4
Desembarcadero (Juradó)_Línea de mano - Línea de mano_Caranx spp.;2;23,35
Palenquito_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;0,58;7,39
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Centropomus nigrescens;8;164,54
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Cyclopsetta querna;2,3;2,3
Puente Chambacú - Río Jella_Palangre o Espinel - Palangre o espinel de fondo_Epinephelus analogus;4;51,5
Puerto López_Red de enmalle - Red de enmalle fija continental_Pimelodus yuma;1;4
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Lutjanus spp.;3,52;43,57
Las Tenazas_Línea de mano - Línea de mano_Bagre filamentosus;0,3;3
Las Tenazas_Línea de mano - Línea de mano_Mugil liza;0,5;0,5
El Uno_Red de enmalle - Red de enmalle fija marina_Scomberomorus cavalla;1,5;5,6
Zapata_Red de enmalle - Red de enmalle fija marina_Menticirrhus americanus;0,7;7,65
El Uno_Red de enmalle - Red de enmalle fija marina_Ocyurus chrysurus;1,8;6,35
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Prochilodus magdalenae;1,4;195,42
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Cynopotamus magdalenae;0,46;22,65
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Ageneiosus pardalis;0,82;15
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Megaleporinus muyscorum;0,84;91,8
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Brycon moorei;0,41;4,1
Playa Necoclí_Red de enmalle - Red de enmalle camaronera_Micropogonias furnieri;0,13;1
Nueva Colonia_Flecha - Flecha_Bagre filamentosus;1,5;12,5
Playa Necoclí_Red de enmalle - Red de enmalle camaronera_Trichiurus lepturus;0,5;39,25
Playa Necoclí_Red de enmalle - Red de enmalle de encierro marina_Lutjanus purpureus;0,88;19
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Curimata mivartii;0,22;3
Palotal_Atarraya - Atarraya_Hoplias malabaricus;5;5
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Brycon moorei;0,41;2,25
Puerto Colorado_Red de enmalle - Red de enmalle de deriva continental_Brycon moorei;0,5;3,02
El Puente_Red de enmalle - Red de enmalle de deriva continental_Triportheus magdalenae;1;20,39
La Rampa (Barrancabermeja)_Atarraya - Atarraya_Brycon moorei;3;3
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorro continental_Ageneiosus pardalis;2,5;11,3
La Rampa (Barrancabermeja)_Chinchorro continental - Chinchorro continental_Hypostomus hondae;5,35;11,65
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Colossoma macropomum;0,34;2,83
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Pimelodus grosskopfii;0,36;5,12
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Triportheus magdalenae;0,22;5,42
Puerto Chaparro_Chinchorro continental - Chinchorro continental_Sorubim cuspicaudus;1;16,18
Puerto Chaparro_Red de enmalle - Red de enmalle fija continental_Hypostomus hondae;0,27;14,4
Bazurto_Red de enmalle - Red de enmalle fija marina_Trachinotus falcatus;0,76;9,7
La Rampa (Barrancabermeja)_Atarraya - Atarraya_Ageneiosus pardalis;5;53,9
La Rampa (Barrancabermeja)_Atarraya - Atarraya_Hypostomus hondae;15;15
Puerto Colorado_Red de enmalle - Red de enmalle fija continental_Piaractus brachypomus;0,5;1,76
La Rampa (Barrancabermeja)_Red de enmalle - Red de enmalle de deriva continental_Ageneiosus pardalis;2,08;10,4
Puerto Caracolí_Cóngolo/Barredera - Cóngolo_Salminus affinis;0,65;0,65
Bellavista_Línea de mano - Línea de mano_Seriola rivoliana;0,31;4,98
Bellavista_Línea de mano - Línea de mano_Rhomboplites aurorubens;0,29;1,45
Bellavista_Chinchorro marino - Chinchorro de jala playa_Centropomus undecimalis;0,37;6,7
Bellavista_Chinchorro marino - Chinchorro de jala playa_Chaetodipterus faber;1,42;13,65
Bellavista_Línea de mano - Línea de mano_Trichiurus lepturus;0,51;17,46
Caño Lobo_Atarraya - Atarraya_Cathorops mapale;1,5;8,15
Bellavista_Chinchorro marino - Chinchorro de jala playa_Lutjanus analis;0,3;5,4
Caño Lobo_Red de enmalle - Red de enmalle fija marina_Centropomus ensiferus;1,48;5
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Centropomus undecimalis;1;4,62
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Eugerres plumieri;1,5;6,9
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Mugil incilis;3;20
Caño Lobo_Red de enmalle - Red de enmalle de encierro marina_Cathorops mapale;2;11,25
Caño Lobo_Buceo - Buceo de peces_Sphyraena guachancho;0,5;0,5
Bellavista_Línea de mano - Línea de mano_Panulirus argus;0,68;1,17
Bellavista_Línea de mano - Línea de mano_Hypanus guttatus;2,15;18,8
Puente Chambacú - Río Jella_Línea de mano - Línea de mano_Acanthocybium solandri;6,5;37
El Riito_Red de enmalle - Red de enmalle de encierro marina_Chloroscombrus chrysurus;5;5
El Riito_Red de enmalle - Red de enmalle de encierro marina_Opisthonema oglinum;7,8;128,2
Las Flores_Red de enmalle - Red de enmalle de deriva marina_Caranx crysos;2,53;77,99
Gaira_Palangre o Espinel - Palangre o espinel de fondo_Ariopsis canteri;4,62;5,97
Gaira_Red de enmalle - Red de enmalle fija marina_Conodon nobilis;2;2
Gaira_Red de enmalle - Red de enmalle fija marina_Trichiurus lepturus;0,3;6,62
